tt0035279,Priscilla Lane|Robert Cummings|Otto Kruger
tt0035317,Basil Rathbone|Nigel Bruce|Lionel Atwill
tt0035415,Charles Boyer|Rita Hayworth|Ginger Rogers
tt0035417,Cary Grant|Jean Arthur|Ronald Colman
tt0035423,Meg Ryan|Hugh Jackman|Liev Schreiber
tt0035432,Alan Ladd|Veronica Lake|Robert Preston
tt0035446,Carole Lombard|Jack Benny|Robert Stack
tt0035567,Spencer Tracy|Katharine Hepburn|Fay Bainter
tt0035575,James Cagney|Joan Leslie|Walter Huston
tt0035753,Pierre Fresnay|Ginette Leclerc|Micheline Francey
tt0035896,Gary Cooper|Ingrid Bergman|Akim Tamiroff
tt0035899,Bela Lugosi|Lon Chaney Jr.|Ilona Massey|Patric Knowles
tt0036027,Frances Dee|Tom Conway|James Ellison
tt0036154,Maya Deren
tt0036244,Henry Fonda|Dana Andrews|Mary Beth Hughes
tt0036342,Teresa Wright|Joseph Cotten|Macdonald Carey
tt0036377,Jennifer Jones|Charles Bickford|William Eythe
tt0036506,Thorkild Roose|Lisbeth Movin|Sigrid Neiiendam
tt0036515,Bette Davis|Paul Lukas|Geraldine Fitzgerald
tt0036613,Cary Grant|Priscilla Lane|Raymond Massey
tt0036775,Fred MacMurray|Barbara Stanwyck|Edward G. Robinson
tt0036777,Katharine Hepburn|Walter Huston|Aline MacMahon
tt0036824,John Wayne|Susan Hayward|Dennis O'Keefe
tt0036855,Charles Boyer|Ingrid Bergman|Joseph Cotten
tt0036868,Myrna Loy|Dana Andrews|Fredric March
tt0036872,Bing Crosby|Barry Fitzgerald|Frank McHugh
tt0036969,Orson Welles|Joan Fontaine|Margaret O'Brien
tt0037008,Gene Tierney|Dana Andrews|Clifton Webb
tt0037017,Tallulah Bankhead|John Hodiak|Walter Slezak
tt0037059,Judy Garland|Margaret O'Brien|Mary Astor
tt0037077,Eddie Bracken|Betty Hutton|Diana Lynn
tt0037094,Bette Davis|Claude Rains|Walter Abel
tt0037120,Mickey Rooney|Elizabeth Taylor|Donald Crisp
tt0037193,Bob Hope|Virginia Mayo|Walter Brennan
tt0037365,William Powell|Myrna Loy|Lucile Watson
tt0037382,Humphrey Bogart|Lauren Bacall|Walter Brennan
tt0037514,Frank Sinatra|Kathryn Grayson|Gene Kelly
tt0037515,Barry Fitzgerald|Walter Huston|Louis Hayward
tt0037536,Bing Crosby|Ingrid Bergman|Henry Travers
tt0037549,Boris Karloff|Bela Lugosi|Henry Daniell
tt0037558,Celia Johnson|Trevor Howard|Stanley Holloway
tt0037635,Mervyn Johns|Michael Redgrave|Roland Culver
tt0037638,Tom Neal|Ann Savage|Claudia Drake
tt0037800,Wendy Hiller|Roger Livesey|George Carney
tt0037884,Ray Milland|Jane Wyman|Phillip Terry
tt0037913,Joan Crawford|Jack Carson|Zachary Scott
tt0037954,Errol Flynn|James Brown|William Prince
tt0037988,George Sanders|Hurd Hatfield|Donna Reed
tt0038109,Ingrid Bergman|Gregory Peck|Michael Chekhov
tt0038166,Aurora Miranda|Carmen Molina|Dora Luz
tt0038259,Basil Rathbone|Nigel Bruce|Hillary Brooke
tt0038348,Jean Marais|Josette Day|Mila Parély
tt0038355,Humphrey Bogart|Lauren Bacall|John Ridgely
tt0038494,Basil Rathbone|Nigel Bruce|Patricia Morison
tt0038499,Jennifer Jones|Joseph Cotten|Gregory Peck
tt0038559,Rita Hayworth|Glenn Ford|George Macready
tt0038574,John Mills|Valerie Hobson|Tony Wager
tt0038589,Judy Garland|Ray Bolger|John Hodiak
tt0038650,James Stewart|Donna Reed|Lionel Barrymore
tt0038661,Larry Parks|Evelyn Keyes|William Demarest
tt0038669,Burt Lancaster|Ava Gardner|Edmond O'Brien
tt0038776,Cary Grant|Alexis Smith|Monty Woolley
tt0038787,Cary Grant|Ingrid Bergman|Claude Rains
tt0038823,Carmela Sazio|Gar Moore|William Tubbs
tt0038854,Lana Turner|John Garfield|Cecil Kellaway
tt0038890,Anna Magnani|Aldo Fabrizi|Marcello Pagliero
tt0038969,Ruth Warrick|Bobby Driscoll|James Baskett
tt0038975,Dorothy McGuire|George Brent|Ethel Barrymore
tt0038988,Barbara Stanwyck|Van Heflin|Lizabeth Scott
tt0038991,Orson Welles|Edward G. Robinson|Loretta Young
tt0039017,Basil Rathbone|Nigel Bruce|Alan Mowbray
tt0039040,Olivia de Havilland|John Lund|Mary Anderson
tt0039066,Katharine Hepburn|Robert Taylor|Robert Mitchum
tt0039111,Gregory Peck|Jane Wyman|Claude Jarman Jr.
tt0039169,Cary Grant|Myrna Loy|Shirley Temple
tt0039190,Cary Grant|Loretta Young|David Niven
tt0039192,Deborah Kerr|David Farrar|Flora Robson
tt0039211,Claire Trevor|Lawrence Tierney|Walter Slezak
tt0039286,Robert Young|Robert Mitchum|Robert Ryan
tt0039302,Humphrey Bogart|Lauren Bacall|Bruce Bennett
tt0039335,Ronald Colman|Edmond O'Brien|Signe Hasso
tt0039370,Loretta Young|Joseph Cotten|Ethel Barrymore
tt0039402,Henry Fonda|Dolores del Rio|Pedro Armendáriz
tt0039416,Gregory Peck|Dorothy McGuire|John Garfield
tt0039417,Edmund Moeschke|Ernst Pittschau|Ingetraud Hinze
tt0039420,Gene Tierney|Rex Harrison|George Sanders
tt0039502,Don DeFore|Ann Harding|Charles Ruggles
tt0039566,William Powell|Irene Dunne|Elizabeth Taylor
tt0039628,Edmund Gwenn|Maureen O'Hara|John Payne
tt0039631,Charles Chaplin|Mady Correll|Allison Roddan
tt0039689,Robert Mitchum|Jane Greer|Kirk Douglas
tt0039694,Gregory Peck|Ann Todd|Charles Laughton
tt0039808,Danny Kaye|Virginia Mayo|Boris Karloff
tt0039853,William Powell|Myrna Loy|Keenan Wynn
tt0040068,Bud Abbott|Lou Costello|Lon Chaney Jr.
tt0040202,James Stewart|Richard Conte|Lee J. Cobb
tt0040308,Judy Garland|Fred Astaire|Peter Lawford
tt0040338,Ralph Richardson|Michèle Morgan|Sonia Dresdel
tt0040416,Laurence Olivier|Jean Simmons|John Laurie
tt0040458,Irene Dunne|Barbara Bel Geddes|Oskar Homolka
